Name,Brand,ImageURL,Description,Contents,Rating
"alisha, solid, women, cycling, shorts",alisha,"[""http://img5a.flixcart.com/image/short/u/4/a/altht-3p-21-alisha-38-original-imaeh2d5vm5zbtgg.jpeg"", ""http://img5a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5kbufss6n.jpeg"", ""http://img5a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5npdybzyt.jpeg"", ""http://img5a.flixcart.com/image/short/z/j/7/altght-7-alisha-38-original-imaeh2d5jsz2ghd6.jpeg""]","key, features, alisha, solid, women, cycling, shorts, cotton, lycra, navy, red, navy, specifications, alisha, solid, women, cycling, shorts, shorts, details, number, contents, sales, package, pack, 3, fabric, cotton, lycra, type, cycling, shorts, general, details, pattern, solid, ideal, women, fabric, care, gentle, machine, wash, lukewarm, water, bleach, additional, details, style, code, box, 3, shorts","contents, sales, package, 3, lycra, shorts, machine, wash, lukewarm, water, bleach, code, shorts",0
"fabhomedecor, fabric, double, sofa, bed",fabhomedecor,"[""http://img6a.flixcart.com/image/sofa-bed/j/f/y/fhd112-double-foam-fabhomedecor-leatherette-black-leatherette-1100x1100-imaeh3gemjjcg9ta.jpeg"", ""http://img6a.flixcart.com/image/sofa-bed/j/f/y/fhd112-double-foam-fabhomedecor-leatherette-black-leatherette-original-imaeh3gemjjcg9ta.jpeg"", ""http://img6a.flixcart.com/image/sofa-bed/j/f/y/fhd112-double-foam-fabhomedecor-leatherette-black-leatherette-original-imaeh3genfxkqvuv.jpeg"", ""http://img5a.flixcart.com/image/sofa-bed/j/f/y/fhd112-double-foam-fabhomedecor-leatherette-black-leatherette-original-imaeh3ge2sfeczef.jpeg"", ""http://img5a.flixcart.com/image/sofa-bed/j/f/y/fhd112-double-foam-fabhomedecor-leatherette-black-leatherette-original-imaeh3geuy7d74g2.jpeg"", ""http://img5a.flixcart.com/image/sofa-bed/j/f/y/fhd112-double-foam-fabhomedecor-leatherette-black-leatherette-original-imaeh3gerfhdxzwj.jpeg""]","fabhomedecor, fabric, double, sofa, bed, finish, color, leatherette, black, mechanism, type, pull, price, rs, fine, deep, seating, experience, save, space, new, click, clack, sofa, bed, easy, fold, vice, versa, simple, click, clack, mechanism, chrome, legs, mango, wood, frame, long, term, durability, double, cushioned, sofa, bed, provide, extra, softness, fine, seating, experience, double, bed, easily, sleep, specifications, fabhomedecor, fabric, double, sofa, bed, finish, color, leatherette, black, mechanism, type, pull, installation, demo, installation, demo, details, installation, demo, product, free, cost, purchase, service, partner, visit, location, 72, business, hours, delivery, product, box, 1, sofa, bed, general, brand, fabhomedecor, mattress, included, delivery, condition, knock, storage, included, mechanism, type, pull, type, sofa, bed, style, contemporary, modern, filling, material, microfiber, seating, capacity, 3, seater, upholstery, type, na, upholstery, included, bed, size, double, shape, square, suitable, living, room, model, number, fhd112, care, instructions, avoid, outdoor, use, exposure, water, prolonged, moisture, avoid, exposure, direct, heat, sunlight, cause, sofa, colour, fade, sharp, objects, away, sofa, little, tear, fabric, cover, hard, repair, vacuum, sofas, periodically, soft, bristled, bru, view, avoid, outdoor, use, exposure, water, prolonged, moisture, avoid, exposure, direct, heat, sunlight, cause, sofa, colour, fade, sharp, objects, away, sofa, little, tear, fabric, cover, hard, repair, vacuum, sofas, periodically, soft, bristled, brush, attachment, lightly, brush, general, dirt, dust, sofa, prevent, embedding, fibres, try, avoid, food, drink, spillage, kind, spills, occur, leave, unattended, case, stain, water, free, fabric, cleaner, avoid, applying, cleaner, directly, stain, cause, damage, fabric, fade, colour, pour, cleaner, clean, cloth, test, effect, hidden, area, sofa, cleaning, stain, cloth, professional, scotchguard, treatment, easiest, effective, options, protect, spills, stains, pet, hair, bay, getting, sofa, professionally, cleaned, 6, 8, months, care, nooks, corners, reach, durable, finish, type, matte, important, note, cancellation, allowed, product, 24, hrs, order, booking, warranty, covered, warranty, warranty, covers, kind, manufacturing, defects, concerned, product, repaired, replaced, based, discretion, service, type, manufacturer, warranty, warranty, summary, 6, months, domestic, warranty, covered, warranty, warranty, cover, improper, handling, dimensions, weight, 40, kg, height, 838, mm, width, 1905, mm, depth, 939, mm, disclaimer, color, product, vary, slightly, compared, picture, displayed, screen, lighting, pixel, quality, color, settings, check, product, dimensions, ensure, product, fit, desired, location, check, product, fit, view, color, product, vary, slightly, compared, picture, displayed, screen, lighting, pixel, quality, color, settings, check, product, dimensions, ensure, product, fit, desired, location, check, product, fit, premises, expect, unevenness, 5, mm, product, differences, surfaces, floor, levels, flipkart, seller, delivering, product, type, civil, work, drilling, holes, wall, mount, product, product, assembled, case, carpentry, assembly, required, case, product, appears, lack, shine, wiping, surface, cloth, help, clear, surface, dust, particles, material, color, upholstery, color, leatherette, black, primary, color, black, primary, material, fabric, secondary, material, subtype, mango, wood, secondary, material, foam, finish, color, leatherette, black, primary, material, subtype, foam","demo, details, demo, product, free, cost, purchase, service, partner, visit, location, 72, business, hours, delivery, product, sofa, bed, included, condition, included, type, bed, modern, material, capacity, seater, type, included, size, room, number, instructions, outdoor, use, exposure, water, prolonged, moisture, avoid, exposure, direct, heat, sunlight, cause, sofa, colour, fade, sharp, objects, away, sofa, little, tear, fabric, cover, hard, repair, vacuum, sofas, periodically, soft, bristled, bru, view, avoid, outdoor, use, exposure, water, prolonged, moisture, avoid, exposure, direct, heat, sunlight, cause, sofa, colour, fade, sharp, objects, away, sofa, little, tear, fabric, cover, hard, repair, vacuum, sofas, periodically, soft, bristled, brush, attachment, lightly, brush, general, dirt, dust, sofa, prevent, embedding, fibres, try, avoid, food, drink, spillage, kind, spills, occur, leave, unattended, case, stain, water, free, fabric, cleaner, avoid, applying, cleaner, directly, stain, cause, damage, fabric, fade, colour, pour, cleaner, clean, cloth, test, effect, hidden, area, sofa, cleaning, stain, cloth, professional, scotchguard, treatment, easiest, effective, options, protect, spills, stains, pet, hair, bay, getting, sofa, professionally, cleaned, 6, 8, months, care, nooks, corners, reach, durable, type, allowed, product, 24, hrs, order, booking, color, product, vary, slightly, compared, picture, displayed, screen, lighting, pixel, quality, color, settings, check, product, dimensions, ensure, product, fit, desired, location, check, product, fit, view, color, product, vary, slightly, compared, picture, displayed, screen, lighting, pixel, quality, color, settings, check, product, dimensions, ensure, product, fit, desired, location, check, product, fit, premises, expect, unevenness, 5, mm, product, differences, surfaces, floor, levels, flipkart, seller, delivering, product, type, civil, work, drilling, holes, wall, mount, product, product, assembled, case, carpentry, assembly, required, case, product, appears, lack, shine, wiping, surface, cloth, help, clear, surface, dust, particles, warranty, covers, kind, manufacturing, defects, concerned, product, repaired, replaced, based, discretion, type, warranty, summary, months, domestic, warranty, covered, warranty, cover, improper, handling, kg, mm, mm, mm, color, black, color, material, material, subtype, wood, material, color, black, material, subtype",0
"aw, bellies",aw,"[""http://img5a.flixcart.com/image/shoe/7/z/z/red-as-454-aw-11-original-imaeebfwsdf6jdf6.jpeg"", ""http://img6a.flixcart.com/image/shoe/7/z/z/red-as-454-aw-11-original-imaeebfwsdf6jdf6.jpeg"", ""http://img5a.flixcart.com/image/shoe/7/z/z/red-as-454-aw-11-original-imaeebfwt8zqc5cy.jpeg"", ""http://img5a.flixcart.com/image/shoe/7/z/z/red-as-454-aw-11-original-imaeebfwhz5f8v6m.jpeg"", ""http://img6a.flixcart.com/image/shoe/7/z/z/red-as-454-aw-11-original-imaeeducshzc6pbz.jpeg"", ""http://img6a.flixcart.com/image/shoe/7/z/z/red-as-454-aw-11-original-imaeebfw2veeuz8s.jpeg""]","key, features, aw, bellies, sandals, wedges, heel, casuals, aw, bellies, price, rs, 499, material, synthetic, lifestyle, casual, heel, type, wedge, warranty, type, manufacturer, product, warranty, manufacturing, defects, 30, days, care, instructions, allow, pair, shoes, air, de, odorize, regular, basis, use, shoe, bags, prevent, stains, mildew, dust, dry, dirt, surface, clean, cloth, use, polish, shiner, specifications, aw, bellies, general, ideal, women, occasion, casual, shoe, details, color, red, outer, material, patent, leather, heel, height, 1, inch, number, contents, sales, package, pack, 1, box, pair, shoes","material, leather, height, inch, contents, sales, package, 1, pair, shoes",0
"alisha, solid, women, cycling, shorts",alisha,"[""http://img5a.flixcart.com/image/short/6/2/h/altght-11-alisha-38-original-imaeh2d5uq9thnyg.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5jxvh4msy.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5yz9fcjxe.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5fa94gzuy.jpeg"", ""http://img6a.flixcart.com/image/short/x/5/f/altght-2-alisha-36-original-imaeh2d5xnueazgz.jpeg""]","key, features, alisha, solid, women, cycling, shorts, cotton, lycra, black, red, specifications, alisha, solid, women, cycling, shorts, shorts, details, number, contents, sales, package, pack, 2, fabric, cotton, lycra, type, cycling, shorts, general, details, pattern, solid, ideal, women, fabric, care, gentle, machine, wash, lukewarm, water, bleach, additional, details, style, code, box, 2, shorts","contents, sales, package, 2, lycra, shorts, machine, wash, lukewarm, water, bleach, code, shorts",0
"sicons, purpose, arnica, dog, shampoo",sicons,"[""http://img5a.flixcart.com/image/pet-shampoo/r/j/5/sh-df-14-sicons-500-1100x1100-imaeh3hfvav85tva.jpeg"", ""http://img5a.flixcart.com/image/pet-shampoo/r/j/5/sh-df-14-sicons-500-original-imaeh3hfvav85tva.jpeg""]","specifications, sicons, purpose, arnica, dog, shampoo, 500, ml, general, pet, type, dog, brand, sicons, quantity, 500, ml, model, number, type, purpose, fragrance, arnica, form, factor, liquid, box, sales, package, shampoo, sicons, dog, fashion, arnica","type, ml, number, purpose, factor, package, sicons, dog, fashion, arnica",0
"eternal, gandhi, super, series, crystal, paper, weights, silver, finish","eternal, gandhi","[""http://img5a.flixcart.com/image/paper-weight/u/e/3/eternal-gandhi-gandhi-paper-weight-mark-v-1100x1100-imaeb8adyf3xmqhf.jpeg"", ""http://img5a.flixcart.com/image/paper-weight/u/e/3/eternal-gandhi-gandhi-paper-weight-mark-v-original-imaeb8adyf3xmqhf.jpeg""]","key, features, eternal, gandhi, super, series, crystal, paper, weights, silver, finish, crystal, paper, weight, product, dimensions, 8, cm, x, 8, cm, x, 5, cm, beautiful, product, material, crystal, eternal, gandhi, super, series, crystal, paper, weights, silver, finish, set, 1, clear, price, rs, 430, office, desk, sparkle, shine, accent, tables, elegant, crystal, paper, weight, multifaceted, crystal, features, gandhiji, bust, timeless, message, life, message, gandhi, beautiful, product, gift, near, dear, ones, family, business, eternal, gandhi, super, series, crystal, paper, weights, silver, finish, set, 1, clear, general, model, gandhi, paper, weight, mark, v, dimensions, weight, 323, g, box, paper, weight, paper, weight, features, paper, weight, material, crystal, paper, weight, finish, silver, finish","paper, weight, mark, v, g, weight, weight, material, weight, finish, finish",0
"alisha, solid, women, cycling, shorts",alisha,"[""http://img6a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5cqtxe5gt.jpeg"", ""http://img5a.flixcart.com/image/short/z/j/7/altght-7-alisha-38-original-imaeh2d5jsz2ghd6.jpeg"", ""http://img5a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5kbufss6n.jpeg"", ""http://img5a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5npdybzyt.jpeg"", ""http://img6a.flixcart.com/image/short/x/5/f/altght-2-alisha-36-original-imaeh2d5xnueazgz.jpeg""]","key, features, alisha, solid, women, cycling, shorts, cotton, lycra, navy, red, white, red, specifications, alisha, solid, women, cycling, shorts, shorts, details, number, contents, sales, package, pack, 4, fabric, cotton, lycra, type, cycling, shorts, general, details, pattern, solid, ideal, women, box, 4, shorts, additional, details, style, code, fabric, care, gentle, machine, wash, lukewarm, water, bleach","contents, sales, package, 4, lycra, shorts, shorts, code, machine, wash, lukewarm, water, bleach",0
"fabhomedecor, fabric, double, sofa, bed",fabhomedecor,"[""http://img6a.flixcart.com/image/sofa-bed/e/x/n/fhd107-double-foam-fabhomedecor-brown-brown-1100x1100-imaeh3geypmfrc5a.jpeg"", ""http://img6a.flixcart.com/image/sofa-bed/e/x/n/fhd107-double-foam-fabhomedecor-brown-brown-original-imaeh3geypmfrc5a.jpeg"", ""http://img6a.flixcart.com/image/sofa-bed/e/x/n/fhd107-double-foam-fabhomedecor-brown-brown-original-imaeh3geadxsdz2f.jpeg"", ""http://img5a.flixcart.com/image/sofa-bed/e/x/n/fhd107-double-foam-fabhomedecor-brown-brown-original-imaeh3gehnzcjfzv.jpeg""]","fabhomedecor, fabric, double, sofa, bed, finish, color, brown, mechanism, type, pull, price, rs, fine, deep, seating, experience, save, space, new, click, clack, sofa, bed, easy, fold, vice, versa, simple, click, clack, mechanism, chrome, legs, mango, wood, frame, long, term, durability, double, cushioned, sofa, bed, provide, extra, softness, fine, seating, experience, double, bed, easily, sleep, specifications, fabhomedecor, fabric, double, sofa, bed, finish, color, brown, mechanism, type, pull, installation, demo, installation, demo, details, installation, demo, product, free, cost, purchase, service, partner, visit, location, 72, business, hours, delivery, product, box, 1, sofa, bed, general, brand, fabhomedecor, mattress, included, delivery, condition, knock, storage, included, mechanism, type, pull, type, sofa, bed, style, contemporary, modern, filling, material, microfiber, seating, capacity, 3, seater, upholstery, type, na, upholstery, included, bed, size, double, shape, square, suitable, living, room, model, number, fhd107, care, instructions, avoid, outdoor, use, exposure, water, prolonged, moisture, avoid, exposure, direct, heat, sunlight, cause, sofa, colour, fade, sharp, objects, away, sofa, little, tear, fabric, cover, hard, repair, vacuum, sofas, periodically, soft, bristled, bru, view, avoid, outdoor, use, exposure, water, prolonged, moisture, avoid, exposure, direct, heat, sunlight, cause, sofa, colour, fade, sharp, objects, away, sofa, little, tear, fabric, cover, hard, repair, vacuum, sofas, periodically, soft, bristled, brush, attachment, lightly, brush, general, dirt, dust, sofa, prevent, embedding, fibres, try, avoid, food, drink, spillage, kind, spills, occur, leave, unattended, case, stain, water, free, fabric, cleaner, avoid, applying, cleaner, directly, stain, cause, damage, fabric, fade, colour, pour, cleaner, clean, cloth, test, effect, hidden, area, sofa, cleaning, stain, cloth, professional, scotchguard, treatment, easiest, effective, options, protect, spills, stains, pet, hair, bay, getting, sofa, professionally, cleaned, 6, 8, months, care, nooks, corners, reach, durable, finish, type, matte, important, note, cancellation, allowed, product, 24, hrs, order, booking, warranty, covered, warranty, warranty, covers, kind, manufacturing, defects, concerned, product, repaired, replaced, based, discretion, service, type, manufacturer, warranty, warranty, summary, 6, months, domestic, warranty, covered, warranty, warranty, cover, improper, handling, dimensions, weight, 40, kg, height, 838, mm, width, 1905, mm, depth, 939, mm, disclaimer, color, product, vary, slightly, compared, picture, displayed, screen, lighting, pixel, quality, color, settings, check, product, dimensions, ensure, product, fit, desired, location, check, product, fit, view, color, product, vary, slightly, compared, picture, displayed, screen, lighting, pixel, quality, color, settings, check, product, dimensions, ensure, product, fit, desired, location, check, product, fit, premises, expect, unevenness, 5, mm, product, differences, surfaces, floor, levels, flipkart, seller, delivering, product, type, civil, work, drilling, holes, wall, mount, product, product, assembled, case, carpentry, assembly, required, case, product, appears, lack, shine, wiping, surface, cloth, help, clear, surface, dust, particles, material, color, upholstery, color, brown, primary, color, brown, primary, material, fabric, secondary, material, subtype, mango, wood, secondary, material, foam, finish, color, brown, primary, material, subtype, foam","demo, details, demo, product, free, cost, purchase, service, partner, visit, location, 72, business, hours, delivery, product, sofa, bed, included, condition, included, type, bed, modern, material, capacity, seater, type, included, size, room, number, instructions, outdoor, use, exposure, water, prolonged, moisture, avoid, exposure, direct, heat, sunlight, cause, sofa, colour, fade, sharp, objects, away, sofa, little, tear, fabric, cover, hard, repair, vacuum, sofas, periodically, soft, bristled, bru, view, avoid, outdoor, use, exposure, water, prolonged, moisture, avoid, exposure, direct, heat, sunlight, cause, sofa, colour, fade, sharp, objects, away, sofa, little, tear, fabric, cover, hard, repair, vacuum, sofas, periodically, soft, bristled, brush, attachment, lightly, brush, general, dirt, dust, sofa, prevent, embedding, fibres, try, avoid, food, drink, spillage, kind, spills, occur, leave, unattended, case, stain, water, free, fabric, cleaner, avoid, applying, cleaner, directly, stain, cause, damage, fabric, fade, colour, pour, cleaner, clean, cloth, test, effect, hidden, area, sofa, cleaning, stain, cloth, professional, scotchguard, treatment, easiest, effective, options, protect, spills, stains, pet, hair, bay, getting, sofa, professionally, cleaned, 6, 8, months, care, nooks, corners, reach, durable, type, allowed, product, 24, hrs, order, booking, color, product, vary, slightly, compared, picture, displayed, screen, lighting, pixel, quality, color, settings, check, product, dimensions, ensure, product, fit, desired, location, check, product, fit, view, color, product, vary, slightly, compared, picture, displayed, screen, lighting, pixel, quality, color, settings, check, product, dimensions, ensure, product, fit, desired, location, check, product, fit, premises, expect, unevenness, 5, mm, product, differences, surfaces, floor, levels, flipkart, seller, delivering, product, type, civil, work, drilling, holes, wall, mount, product, product, assembled, case, carpentry, assembly, required, case, product, appears, lack, shine, wiping, surface, cloth, help, clear, surface, dust, particles, warranty, covers, kind, manufacturing, defects, concerned, product, repaired, replaced, based, discretion, type, warranty, summary, months, domestic, warranty, covered, warranty, cover, improper, handling, kg, mm, mm, mm, color, color, material, material, subtype, wood, material, color, material, subtype",0
"dilli, bazaaar, bellies, corporate, casuals, casuals","dilli, bazaaar","[""http://img6a.flixcart.com/image/shoe/b/p/n/pink-200db202-dilli-bazaaar-10-original-imaeh2zz4x6hnuwf.jpeg"", ""http://img6a.flixcart.com/image/shoe/b/p/n/pink-200db202-dilli-bazaaar-10-original-imaeh2zzxp8s7gru.jpeg"", ""http://img6a.flixcart.com/image/shoe/s/c/k/pink-200db202-dilli-bazaaar-9-original-imaeh2zzv2hzkepv.jpeg"", ""http://img5a.flixcart.com/image/shoe/b/p/n/pink-200db202-dilli-bazaaar-10-original-imaeh2zztckv2tqj.jpeg""]","key, features, dilli, bazaaar, bellies, corporate, casuals, casuals, material, fabric, occasion, ethnic, casual, party, formal, color, pink, heel, height, dilli, bazaaar, bellies, corporate, casuals, casuals, general, occasion, ethnic, casual, party, formal, ideal, women, shoe, details, weight, 200, g, single, shoe, weight, product, vary, depending, size, heel, height, 0, inch, outer, material, fabric, color, pink","casual, party, formal, g, single, shoe, weight, product, vary, depending, size, height, inch, material",0
"alisha, solid, women, cycling, shorts",alisha,"[""http://img5a.flixcart.com/image/short/5/z/c/altght4p-39-alisha-38-original-imaeh2d5ar6m55zd.jpeg"", ""http://img5a.flixcart.com/image/short/z/h/b/altght-9-alisha-36-original-imaeh2d5khxcdggw.jpeg"", ""http://img6a.flixcart.com/image/short/z/h/b/altght-9-alisha-36-original-imaeh2d5yj4cnjtz.jpeg"", ""http://img6a.flixcart.com/image/short/z/h/b/altght-9-alisha-36-original-imaeh2d55eacbgwg.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5jxvh4msy.jpeg""]","key, features, alisha, solid, women, cycling, shorts, cotton, lycra, white, black, red, black, specifications, alisha, solid, women, cycling, shorts, shorts, details, number, contents, sales, package, pack, 4, fabric, cotton, lycra, type, cycling, shorts, general, details, pattern, solid, ideal, women, fabric, care, gentle, machine, wash, lukewarm, water, bleach, additional, details, style, code, box, 4, shorts","contents, sales, package, 4, lycra, shorts, machine, wash, lukewarm, water, bleach, code, shorts",0
